# LAST-UPDATED: 2023-07-27	0900

# [Manager]
SC-Sphere-2	54-BF-64-65-C3-2F

# [Server Production]
SC-Tellus	90-B1-1C-15-F4-F2
SC-Tellus	90-B1-1C-15-F4-F3
SC-Vanadium	00-1E-C9-2B-6F-C8
SC-Vanadium	00-1E-C9-2B-6F-C6

# [Testing and Development]
SC-Cavia-Server	90-B1-1C-9C-4D-48	
SC-Cavia	6C-2B-59-DB-C5-31
SC-Cavia-11		
SC-Cavia-10-V	00-15-5D-03-FB-08
SC-CAL-Cavia-V	00-15-5D-03-FB-0E

# [ILC and Development]
SC-Dysprosium	18-03-73-D4-7B-AF

# [Computer Applications Lab (CAL)]
SC-GOWMAC-5	18-03-73-AE-8E-8E
SC-GOWMAC-6	18-03-73-29-4F-7C
SC-GOWMAC-7	78-2B-CB-B7-66-50
SC-GOWMAC-8	78-2B-CB-B7-64-45
SC-Weather	18-03-73-AE-2E-8B
SC-Weather-S	18-03-73-AD-C8-99
SC-Hg	78-2B-CB-9F-6D-11

# [Research]
SC-Research-01	5C-F9-DD-71-84-F7
SC-Fungi-01	5C-F9-DD-71-89-20
SC-Avian-01	5C-F9-DD-70-82-1B
SC-EEON-01	E4-54-E8-57-C8-41

# [Staff]
EME8676	18-66-DA-28-2B-64


# [Standby (model-asset#)]
6524	78-2B-CB-B7-69-E7
6742	78-2B-CB-B7-6B-14
SC-7010-7306
SC-790-6571
SC-790-6380
SC-790-6593
SC-790-6742
SC-790-6399
#7010's from CAL East
5C-F9-DD-71-69-AA
B8-CA-3A-9A-C5-9E
B8-CA-3A-9A-DB-03
B8-CA-3A-9A-C3-5C
B8-CA-3A-9A-D9-B3
18-03-73-1E-F9-61
B8-CA-3A-9A-C5-C3
B8-CA-3A-9A-DA-64
90-B1-1C-7E-0D-0E
B8-CA-3A-9A-DE-20
B8-CA-3A-9A-C1-7D
5C-F9-DD-71-89-3C
B8-CA-3A-9A-0B-C1
B8-CA-3A-9A-D7-E6
B8-CA-3A-9A-D5-BB
B8-CA-3A-9A-BE-BA
B8-CA-3A-9A-BD-DB
B8-CA-3A-9A-C4-26
90-B1-1C-89-9E-80
5C-F9-DD-70-AB-55
B8-CA-3A-9A-C1-CA
5C-F9-DD-71-8A-D3
B8-CA-3A-9A-C3-50
B8-CA-3A-9A-C3-2C
B8-CA-3A-9A-DB-AB
B8-CA-3A-9A-D7-86
B8-CA-3A-9A-C4-E2
